Energy_keV Counts
-0.338 0
-0.125 0
0.087 0
0.300 0
0.513 0
0.725 2773
0.938 2142
1.150 1420
1.363 909
1.576 549
1.788 319
2.001 134
2.214 81
2.426 28
2.639 11
2.852 8
3.064 12
3.277 4
3.490 8
3.702 9
3.915 7
4.128 17
4.340 18
4.553 16
4.766 27
4.978 20
5.191 33
5.404 39
5.616 46
5.829 47
6.042 55
6.254 80
6.467 80
6.680 97
6.892 123
7.105 153
7.318 145
7.530 167
7.743 205
7.956 225
8.168 241
8.381 253
8.594 261
8.806 300
9.019 333
9.232 448
9.444 587
9.657 778
9.870 1010
10.082 1209
10.295 1484
10.508 1555
10.720 1523
10.933 1607
11.146 1356
11.358 1314
11.571 1240
11.784 1157
11.996 1235
12.209 1485
12.422 1584
12.634 1523
12.847 1650
13.060 1584
13.272 1300
13.485 1168
13.698 949
13.910 779
14.123 686
14.336 558
14.548 533
14.761 429
14.974 446
15.186 414
15.399 394
15.611 421
15.824 365
16.037 424
16.249 424
16.462 492
16.675 552
16.887 566
17.100 567
17.313 575
17.525 589
17.738 494
17.951 441
18.163 361
18.376 303
18.589 251
18.801 193
19.014 212
19.227 166
19.439 199
19.652 169
19.865 189
20.077 198
20.290 239
20.503 221
20.715 213
20.928 202
21.141 186
21.353 139
21.566 149
21.779 133
21.991 88
22.204 100
22.417 84
22.629 92
22.842 70
23.055 62
23.267 86
23.480 92
23.693 102
23.905 119
24.118 127
24.331 156
24.543 162
24.756 172
24.969 168
25.181 169
25.394 173
25.607 194
25.819 187
26.032 179
26.245 177
26.457 145
26.670 121
26.883 117
27.095 92
27.308 80
27.521 81
27.733 65
27.946 61
28.159 86
28.371 65
28.584 64
28.797 71
29.009 60
29.222 78
29.435 66
29.647 59
29.860 75
30.072 65
30.285 59
30.498 62
30.710 67
30.923 64
31.136 65
31.348 77
31.561 58
31.774 63
31.986 57
32.199 69
32.412 70
32.624 83
32.837 67
33.050 77
33.262 84
33.475 72
33.688 79
33.900 64
34.113 83
34.326 77
34.538 86
34.751 91
34.964 80
35.176 93
35.389 103
35.602 107
35.814 93
36.027 72
36.240 82
36.452 125
36.665 96
36.878 119
37.090 111
37.303 146
37.516 130
37.728 145
37.941 146
38.154 169
38.366 171
38.579 189
38.792 217
39.004 230
39.217 211
39.430 243
39.642 264
39.855 251
40.068 268
40.280 302
40.493 321
40.706 313
40.918 362
41.131 374
41.344 432
41.556 412
41.769 403
41.982 465
42.194 483
42.407 478
42.620 526
42.832 504
43.045 586
43.258 585
43.470 619
43.683 661
43.895 644
44.108 637
44.321 722
44.533 729
44.746 694
44.959 743
45.171 777
45.384 801
45.597 793
45.809 775
46.022 889
46.235 852
46.447 950
46.660 952
46.873 1031
47.085 1034
47.298 1144
47.511 1157
47.723 1235
47.936 1304
48.149 1434
48.361 1550
48.574 1676
48.787 1899
48.999 1972
49.212 2271
49.425 2455
49.637 2599
49.850 2773
50.063 2967
50.275 3008
50.488 3220
50.701 3224
50.913 3406
51.126 3406
51.339 3502
51.551 3498
51.764 3486
51.977 3563
52.189 3672
52.402 3674
52.615 3679
52.827 3635
53.040 3734
53.253 3703
53.465 3949
53.678 3914
53.891 3845
54.103 3897
54.316 3956
54.529 4020
54.741 3995
54.954 3915
55.167 3985
55.379 3868
55.592 3809
55.805 3784
56.017 3663
56.230 3499
56.443 3174
56.655 3087
56.868 2970
57.081 2944
57.293 2759
57.506 2639
57.719 2597
57.931 2569
58.144 2824
58.356 3176
58.569 3514
58.782 4089
58.994 4587
59.207 4826
59.420 4732
59.632 4428
59.845 3778
60.058 2991
60.270 2157
60.483 1592
60.696 1052
60.908 613
61.121 413
61.334 277
61.546 164
61.759 171
61.972 147
62.184 132
62.397 134
62.610 123
62.822 136
63.035 133
63.248 133
63.460 110
63.673 120
63.886 117
64.098 130
64.311 145
64.524 101
64.736 159
64.949 131
65.162 137
65.374 136
65.587 130
65.800 154
66.012 130
66.225 126
66.438 138
66.650 132
66.863 135
67.076 135
67.288 166
67.501 146
67.714 116
67.926 125
68.139 126
68.352 133
68.564 141
68.777 125
68.990 144
69.202 138
69.415 119
69.628 139
69.840 139
70.053 141
70.266 140
70.478 131
70.691 164
70.904 150
71.116 142
71.329 166
71.542 162
71.754 154
71.967 165
72.180 186
72.392 190
72.605 171
72.817 185
73.030 199
73.243 198
73.455 191
73.668 172
73.881 173
74.093 192
74.306 212
74.519 219
74.731 220
74.944 219
75.157 203
75.369 200
75.582 189
75.795 189
76.007 167
76.220 145
76.433 169
76.645 139
76.858 169
77.071 150
77.283 166
77.496 161
77.709 130
77.921 149
78.134 140
78.347 157
78.559 164
78.772 144
78.985 104
79.197 132
79.410 139
79.623 130
79.835 155
80.048 123
80.261 137
80.473 154
80.686 149
80.899 143
81.111 136
81.324 148
81.537 132
81.749 145
81.962 125
82.175 141
82.387 145
82.600 141
82.813 145
83.025 154
83.238 149
83.451 151
83.663 187
83.876 164
84.089 157
84.301 166
84.514 175
