Energy_keV Counts
-0.338 0
-0.125 0
0.087 0
0.300 0
0.513 0
0.725 4540
0.938 3375
1.150 2245
1.363 1436
1.576 857
1.788 460
2.001 244
2.214 104
2.426 35
2.639 17
2.852 16
3.064 3
3.277 5
3.490 9
3.702 9
3.915 15
4.128 16
4.340 18
4.553 26
4.766 27
4.978 26
5.191 41
5.404 37
5.616 65
5.829 78
6.042 93
6.254 111
6.467 141
6.680 195
6.892 197
7.105 208
7.318 263
7.530 283
7.743 282
7.956 335
8.168 342
8.381 292
8.594 335
8.806 305
9.019 250
9.232 303
9.444 274
9.657 309
9.870 355
10.082 400
10.295 437
10.508 420
10.720 445
10.933 434
11.146 417
11.358 386
11.571 371
11.784 398
11.996 467
12.209 494
12.422 547
12.634 605
12.847 684
13.060 713
13.272 745
13.485 693
13.698 718
13.910 648
14.123 630
14.336 585
14.548 474
14.761 429
14.974 459
15.186 412
15.399 396
15.611 452
15.824 527
16.037 616
16.249 715
16.462 824
16.675 904
16.887 1060
17.100 1039
17.313 1084
17.525 1005
17.738 931
17.951 810
18.163 583
18.376 547
18.589 462
18.801 397
19.014 387
19.227 337
19.439 353
19.652 366
19.865 413
20.077 389
20.290 441
20.503 417
20.715 378
20.928 381
21.141 325
21.353 272
21.566 263
21.779 219
21.991 193
22.204 147
22.417 144
22.629 142
22.842 134
23.055 150
23.267 151
23.480 178
23.693 211
23.905 243
24.118 285
24.331 320
24.543 340
24.756 373
24.969 395
25.181 415
25.394 371
25.607 381
25.819 331
26.032 336
26.245 282
26.457 239
26.670 230
26.883 175
27.095 175
27.308 139
27.521 148
27.733 124
27.946 114
28.159 132
28.371 137
28.584 139
28.797 117
29.009 121
29.222 120
29.435 128
29.647 120
29.860 109
30.072 94
30.285 122
30.498 100
30.710 100
30.923 104
31.136 111
31.348 110
31.561 124
31.774 110
31.986 126
32.199 126
32.412 112
32.624 141
32.837 125
33.050 110
33.262 134
33.475 110
33.688 143
33.900 163
34.113 133
34.326 133
34.538 153
34.751 135
34.964 145
35.176 148
35.389 159
35.602 176
35.814 207
36.027 209
36.240 207
36.452 203
36.665 243
36.878 224
37.090 285
37.303 264
37.516 271
37.728 341
37.941 328
38.154 368
38.366 373
38.579 428
38.792 450
39.004 425
39.217 499
39.430 456
39.642 514
39.855 565
40.068 610
40.280 596
40.493 712
40.706 719
40.918 767
41.131 841
41.344 833
41.556 854
41.769 1015
41.982 1059
42.194 1037
42.407 1177
42.620 1147
42.832 1287
43.045 1318
43.258 1382
43.470 1449
43.683 1494
43.895 1522
44.108 1534
44.321 1617
44.533 1588
44.746 1735
44.959 1665
45.171 1759
45.384 1749
45.597 1849
45.809 1803
46.022 1869
46.235 1963
46.447 1994
46.660 2139
46.873 2229
47.085 2331
47.298 2387
47.511 2616
47.723 2754
47.936 2883
48.149 3148
48.361 3292
48.574 3715
48.787 4091
48.999 4552
49.212 4887
49.425 5455
49.637 5909
49.850 6331
50.063 6852
50.275 7273
50.488 7623
50.701 8098
50.913 8263
51.126 8581
51.339 8726
51.551 9041
51.764 9062
51.977 9406
52.189 9301
52.402 9159
52.615 8971
52.827 9321
53.040 9082
53.253 9050
53.465 8813
53.678 8634
53.891 8284
54.103 8230
54.316 7753
54.529 7734
54.741 7336
54.954 7032
55.167 6969
55.379 6552
55.592 6439
55.805 6118
56.017 5816
56.230 5557
56.443 5246
56.655 4830
56.868 4802
57.081 4392
57.293 4312
57.506 4008
57.719 3852
57.931 4099
58.144 4179
58.356 4707
58.569 5336
58.782 6093
58.994 6834
59.207 6876
59.420 6915
59.632 6374
59.845 5410
60.058 4191
60.270 3077
60.483 2116
60.696 1388
60.908 831
61.121 514
61.334 368
61.546 255
61.759 203
61.972 193
62.184 192
62.397 197
62.610 208
62.822 202
63.035 211
63.248 203
63.460 195
63.673 197
63.886 198
64.098 203
64.311 227
64.524 196
64.736 207
64.949 208
65.162 197
65.374 196
65.587 210
65.800 212
66.012 189
66.225 198
66.438 192
66.650 201
66.863 212
67.076 217
67.288 205
67.501 197
67.714 219
67.926 198
68.139 214
68.352 199
68.564 219
68.777 221
68.990 206
69.202 203
69.415 211
69.628 228
69.840 217
70.053 198
70.266 216
70.478 196
70.691 226
70.904 231
71.116 228
71.329 238
71.542 239
71.754 237
71.967 243
72.180 248
72.392 264
72.605 274
72.817 285
73.030 277
73.243 267
73.455 289
73.668 271
73.881 264
74.093 299
74.306 296
74.519 337
74.731 338
74.944 333
75.157 294
75.369 317
75.582 246
75.795 287
76.007 293
76.220 249
76.433 238
76.645 230
76.858 230
77.071 259
77.283 235
77.496 286
77.709 251
77.921 223
78.134 229
78.347 226
78.559 216
78.772 245
78.985 226
79.197 233
79.410 239
79.623 190
79.835 249
80.048 218
80.261 257
80.473 212
80.686 228
80.899 221
81.111 216
81.324 250
81.537 209
81.749 237
81.962 242
82.175 224
82.387 227
82.600 238
82.813 225
83.025 220
83.238 248
83.451 261
83.663 255
83.876 240
84.089 233
84.301 232
84.514 252
